z,y,x,conf,tile_z,tile_y,tile_x,local_z
74.000,1021.222,720.743,0.119068,0,1,1,74
6.000,1006.727,1487.799,0.129846,0,1,2,6
7.000,978.183,1507.237,0.225867,0,1,2,7
8.000,977.984,1507.334,0.665319,0,1,2,8
8.000,984.066,1531.810,0.124044,0,1,2,8
9.000,978.224,1507.369,0.750187,0,1,2,9
9.000,984.491,1531.808,0.208891,0,1,2,9
9.000,984.927,1531.610,0.107477,0,1,2,9
10.000,978.377,1507.513,0.672261,0,1,2,10
10.000,983.987,1531.458,0.292832,0,1,2,10
10.000,984.500,1531.221,0.175816,0,1,2,10
11.000,978.008,1507.556,0.578387,0,1,2,11
11.000,983.249,1531.217,0.465517,0,1,2,11
12.000,982.866,1531.246,0.528508,0,1,2,12
12.000,977.291,1507.425,0.451905,0,1,2,12
12.000,980.902,1530.565,0.146845,0,1,2,12
12.000,978.190,1507.676,0.124115,0,1,2,12
12.000,987.439,1530.919,0.122352,0,1,2,12
12.000,983.402,1530.206,0.104438,0,1,2,12
13.000,983.345,1531.672,0.532684,0,1,2,13
13.000,976.656,1507.570,0.261804,0,1,2,13
13.000,987.534,1531.115,0.131830,0,1,2,13
13.000,981.216,1530.999,0.105213,0,1,2,13
14.000,984.401,1531.724,0.475845,0,1,2,14
14.000,975.923,1508.176,0.115288,0,1,2,14
35.000,957.524,1519.325,0.172731,0,1,2,35
35.000,985.874,1532.032,0.119052,0,1,2,35
36.000,957.555,1519.359,0.348729,0,1,2,36
37.000,957.504,1519.395,0.164217,0,1,2,37
38.000,963.191,1512.605,0.132409,0,1,2,38
38.000,963.136,1509.909,0.103010,0,1,2,38
39.000,963.008,1511.012,0.449964,0,1,2,39
40.000,963.318,1509.454,0.569741,0,1,2,40
41.000,963.740,1509.192,0.557054,0,1,2,41
42.000,964.384,1508.518,0.558244,0,1,2,42
43.000,964.182,1508.610,0.493682,0,1,2,43
44.000,963.842,1509.045,0.472238,0,1,2,44
44.000,964.438,1510.307,0.168750,0,1,2,44
45.000,963.199,1509.485,0.348183,0,1,2,45
45.000,964.057,1510.720,0.195841,0,1,2,45
2.000,962.616,1570.714,0.210766,0,1,3,2
8.000,1018.528,1736.424,0.112026,0,1,3,8
9.000,1017.909,1736.674,0.288635,0,1,3,9
10.000,1017.561,1736.731,0.206687,0,1,3,10
15.000,997.843,1551.706,0.141904,0,1,3,15
16.000,997.323,1551.961,0.265191,0,1,3,16
17.000,997.850,1552.957,0.275208,0,1,3,17
18.000,997.697,1552.696,0.317167,0,1,3,18
19.000,996.930,1552.386,0.256748,0,1,3,19
20.000,996.062,1551.849,0.292134,0,1,3,20
26.000,611.602,1942.784,0.182226,0,1,3,26
26.000,611.094,1944.649,0.133271,0,1,3,26
27.000,609.799,1941.299,0.626720,0,1,3,27
28.000,854.413,1752.288,0.745655,0,1,3,28
28.000,608.061,1940.880,0.713474,0,1,3,28
29.000,852.776,1751.888,0.764056,0,1,3,29
29.000,605.996,1940.901,0.686246,0,1,3,29
29.000,1006.056,1545.296,0.336831,0,1,3,29
29.000,926.047,1628.580,0.201295,0,1,3,29
29.000,920.917,1553.709,0.127671,0,1,3,29
30.000,851.933,1751.720,0.744558,0,1,3,30
30.000,604.421,1941.035,0.617207,0,1,3,30
30.000,924.844,1628.670,0.463202,0,1,3,30
30.000,1005.057,1544.553,0.406342,0,1,3,30
30.000,1004.229,1544.131,0.266954,0,1,3,30
30.000,978.628,1545.044,0.148645,0,1,3,30
31.000,851.492,1751.775,0.727759,0,1,3,31
31.000,603.552,1941.430,0.614507,0,1,3,31
31.000,924.544,1628.665,0.399115,0,1,3,31
31.000,1004.689,1544.441,0.324040,0,1,3,31
31.000,1003.701,1544.018,0.259520,0,1,3,31
32.000,850.818,1752.051,0.709735,0,1,3,32
32.000,604.915,1944.006,0.518175,0,1,3,32
32.000,605.160,1943.143,0.412308,0,1,3,32
32.000,923.816,1628.933,0.126905,0,1,3,32
33.000,849.941,1751.828,0.733549,0,1,3,33
33.000,607.164,1945.487,0.385580,0,1,3,33
33.000,607.653,1945.857,0.170784,0,1,3,33
34.000,848.910,1752.068,0.741105,0,1,3,34
34.000,606.905,1945.545,0.309514,0,1,3,34
34.000,994.694,1539.378,0.108782,0,1,3,34
35.000,846.872,1752.288,0.721240,0,1,3,35
35.000,993.863,1539.236,0.107046,0,1,3,35
36.000,845.586,1752.434,0.489010,0,1,3,36
36.000,977.345,1545.041,0.216929,0,1,3,36
36.000,844.706,1752.662,0.191183,0,1,3,36
36.000,979.091,1543.984,0.139247,0,1,3,36
37.000,976.582,1544.639,0.589989,0,1,3,37
37.000,844.237,1752.724,0.285146,0,1,3,37
37.000,845.155,1752.485,0.204531,0,1,3,37
37.000,978.349,1543.915,0.168837,0,1,3,37
38.000,975.984,1544.592,0.609574,0,1,3,38
38.000,844.000,1752.560,0.160574,0,1,3,38
38.000,592.339,1938.934,0.138367,0,1,3,38
38.000,975.524,1546.599,0.108960,0,1,3,38
39.000,975.586,1544.345,0.539362,0,1,3,39
39.000,978.011,1543.268,0.133654,0,1,3,39
40.000,975.109,1544.087,0.465319,0,1,3,40
40.000,977.358,1543.203,0.144249,0,1,3,40
41.000,973.860,1543.569,0.386922,0,1,3,41
42.000,971.992,1541.615,0.444329,0,1,3,42
42.000,972.658,1542.896,0.278903,0,1,3,42
43.000,970.225,1540.172,0.433981,0,1,3,43
44.000,969.315,1538.803,0.173138,0,1,3,44
49.000,554.700,1956.746,0.527596,0,1,3,49
49.000,554.209,1958.031,0.137258,0,1,3,49
50.000,555.312,1956.976,0.750333,0,1,3,50
50.000,555.063,1957.939,0.129303,0,1,3,50
51.000,554.928,1956.798,0.765239,0,1,3,51
52.000,554.530,1956.561,0.816217,0,1,3,52
53.000,554.693,1956.319,0.770472,0,1,3,53
53.000,686.576,1832.452,0.250485,0,1,3,53
54.000,686.208,1832.533,0.821426,0,1,3,54
54.000,554.058,1955.801,0.789820,0,1,3,54
55.000,686.309,1832.567,0.805810,0,1,3,55
55.000,553.522,1954.604,0.432775,0,1,3,55
55.000,911.944,1650.421,0.237268,0,1,3,55
55.000,911.294,1651.802,0.126579,0,1,3,55
56.000,687.043,1831.823,0.764285,0,1,3,56
56.000,911.858,1649.864,0.660639,0,1,3,56
56.000,911.342,1650.885,0.159105,0,1,3,56
57.000,687.281,1831.358,0.767797,0,1,3,57
57.000,912.467,1649.048,0.728548,0,1,3,57
57.000,560.553,1963.048,0.461815,0,1,3,57
58.000,912.657,1648.581,0.760191,0,1,3,58
58.000,686.885,1831.250,0.710656,0,1,3,58
59.000,911.669,1649.220,0.743341,0,1,3,59
59.000,910.647,1650.713,0.172886,0,1,3,59
59.000,686.734,1832.162,0.165394,0,1,3,59
60.000,908.117,1651.958,0.669263,0,1,3,60
61.000,906.696,1651.700,0.797440,0,1,3,61
62.000,905.885,1651.543,0.749889,0,1,3,62
63.000,905.006,1650.767,0.736449,0,1,3,63
64.000,903.633,1649.922,0.541326,0,1,3,64
72.000,825.251,1603.794,0.154743,0,1,3,72
88.000,751.615,1541.105,0.110895,0,1,3,88
89.000,750.624,1544.560,0.121602,0,1,3,89
164.000,836.170,1841.911,0.328053,0,1,3,164
165.000,835.372,1841.970,0.779561,0,1,3,165
165.000,835.273,1843.281,0.100639,0,1,3,165
166.000,835.319,1842.190,0.767517,0,1,3,166
166.000,835.558,1843.405,0.160301,0,1,3,166
167.000,835.146,1842.253,0.774314,0,1,3,167
167.000,835.276,1843.461,0.277978,0,1,3,167
168.000,834.413,1842.167,0.813703,0,1,3,168
168.000,834.530,1843.467,0.310519,0,1,3,168
169.000,833.408,1842.067,0.767468,0,1,3,169
169.000,833.583,1843.488,0.188458,0,1,3,169
176.000,1021.072,1654.544,0.315302,0,1,3,176
176.000,967.063,2017.641,0.123655,0,1,3,176
177.000,966.719,2017.640,0.413890,0,1,3,177
177.000,1019.439,1653.498,0.323960,0,1,3,177
178.000,1018.988,1653.634,0.412731,0,1,3,178
178.000,1017.938,1652.551,0.203558,0,1,3,178
179.000,1016.831,1651.488,0.175293,0,1,3,179
179.000,1015.918,1649.461,0.129444,0,1,3,179
180.000,961.963,2017.865,0.737272,0,1,3,180
181.000,958.407,2017.921,0.726283,0,1,3,181
181.000,959.342,2017.847,0.247353,0,1,3,181
182.000,955.528,2017.743,0.708472,0,1,3,182
183.000,953.096,2016.930,0.126945,0,1,3,183
185.000,952.460,2017.980,0.101590,0,1,3,185
186.000,952.136,2019.152,0.197227,0,1,3,186
187.000,872.821,1719.265,0.204204,0,1,3,187
